,ar_reason_code,invalid,total,cumsum,percentage
0,003,607,19457,19457,32.541142627776296
4,009,82,8021,27478,45.955980733208456
13,044,9,7247,34725,58.07633128177683
3,007,62,6403,41128,68.78512175541879
12,043,0,3886,45014,75.28431897243777
14,045,11,2974,47988,80.25822852555525
8,016,90,2755,50743,84.86586834359112
21,078,12,1750,52493,87.79268129515654
7,013,0,1275,53768,89.92507358843993
1,004,32,1104,54872,91.77147444474177
22,103,318,1029,55901,93.49244046026224
18,065,5,831,56732,94.88225849611989
29,116,58,544,57276,95.79207920792079
5,010,8,505,57781,96.63667380251539
15,049,20,387,58168,97.28391758094729
6,012,3,367,58535,97.89771206850415
10,036,32,323,58858,98.43791811613593
23,104,39,285,59143,98.91457051110515
24,107,8,144,59287,99.1554054054054
25,109,25,117,59404,99.35108375702436
19,067,6,63,59467,99.4564490232807
28,113,0,58,59525,99.5534519668183
16,053,0,51,59576,99.63874765854965
37,178,0,45,59621,99.71400856301847
36,167,4,43,59664,99.78592453839978
31,136,7,25,59689,99.82773615199358
26,110,11,25,59714,99.86954776558737
20,068,0,22,59736,99.9063419855499
32,144,2,14,59750,99.92975648916243
27,112,0,12,59762,99.94982606368745
9,033,0,10,59772,99.96655070912497
11,037,0,6,59778,99.97658549638747
2,006,0,4,59782,99.98327535456248
30,134,3,3,59785,99.98829274819374
34,149,0,3,59788,99.99331014182499
17,059,0,2,59790,99.9966550709125
33,145,0,1,59791,99.99832753545624
35,165,0,1,59792,100.0
