,payer,ar_reason_code,label,rank
276,100017,006,others,0.011235955056179775
397,100017,003,others,0.011235955056179775
445,100017,007,others,0.011235955056179775
794,100017,103,others,0.011235955056179775
797,100017,104,others,0.011235955056179775
975,100017,012,others,0.011235955056179775
127,100024,006,006,0.017857142857142856
340,100024,003,others,0.0
803,100024,016,others,0.0
950,100024,004,others,0.0
951,100024,009,others,0.0
955,100024,010,others,0.0
755,100075,006,others,0.0
958,100095,003,others,0.0
416,100105,053,others,0.0
250,100107,006,others,0.0
565,100107,003,others,0.0
795,100107,016,others,0.0
522,100114,003,others,0.07692307692307693
530,100114,009,others,0.07692307692307693
650,100114,016,others,0.07692307692307693
1012,100114,012,others,0.07692307692307693
1015,100114,004,others,0.07692307692307693
110,100114,006,006,0.009950248756218905
168,100119,006,006,0.0
609,100119,007,others,0.0
713,100119,003,others,0.0
763,100119,009,others,0.0
255,100140,006,others,0.0
1006,100140,044,others,0.0
174,100190,006,others,0.009009009009009009
610,100190,009,others,0.009009009009009009
764,100190,043,others,0.009009009009009009
796,100190,003,others,0.009009009009009009
985,100190,103,others,0.009009009009009009
1002,100190,007,others,0.009009009009009009
280,100203,003,others,0.009345794392523364
333,100203,009,others,0.009345794392523364
450,100203,013,others,0.009345794392523364
699,100203,007,others,0.009345794392523364
716,100203,044,others,0.009345794392523364
740,100203,010,others,0.009345794392523364
828,100203,078,others,0.009345794392523364
948,100203,043,others,0.009345794392523364
990,100203,004,others,0.009345794392523364
998,100203,012,others,0.009345794392523364
62,100203,006,006,0.004347826086956522
438,100210,006,others,0.03125
552,100210,003,others,0.03125
579,100210,043,others,0.03125
935,100210,103,others,0.03125
210,100212,003,others,0.1513157894736842
437,100212,009,others,0.1513157894736842
456,100212,043,others,0.1513157894736842
484,100212,078,others,0.1513157894736842
514,100212,049,others,0.1513157894736842
544,100212,014,others,0.1513157894736842
570,100212,103,others,0.1513157894736842
661,100212,007,others,0.1513157894736842
741,100212,016,others,0.1513157894736842
930,100212,004,others,0.1513157894736842
945,100212,013,others,0.1513157894736842
1107,100212,104,others,0.1513157894736842
77,100212,006,006,0.014326647564469915
298,100263,009,others,0.009615384615384616
344,100263,043,others,0.009615384615384616
449,100263,016,others,0.009615384615384616
493,100263,003,others,0.009615384615384616
806,100263,053,others,0.009615384615384616
830,100263,010,others,0.009615384615384616
1097,100263,007,others,0.009615384615384616
1100,100263,078,others,0.009615384615384616
1105,100263,109,others,0.009615384615384616
64,100263,006,006,0.004739336492890996
1125,100367,006,others,0.0
1157,100367,043,others,0.0
223,100385,006,others,0.0
285,100385,009,others,0.0
444,100385,013,others,0.0
533,100385,003,others,0.0
1150,100385,109,others,0.0
1151,100385,043,others,0.0
1155,100385,012,others,0.0
179,100403,103,others,0.04950495049504951
214,100403,044,others,0.04950495049504951
239,100403,078,others,0.04950495049504951
269,100403,010,others,0.04950495049504951
271,100403,013,others,0.04950495049504951
303,100403,009,others,0.04950495049504951
406,100403,004,others,0.04950495049504951
498,100403,067,others,0.04950495049504951
583,100403,043,others,0.04950495049504951
595,100403,110,others,0.04950495049504951
692,100403,167,others,0.04950495049504951
775,100403,109,others,0.04950495049504951
822,100403,049,others,0.04950495049504951
117,100403,003,003,0.0273224043715847
28,100403,006,006,0.0010559662090813093
38,100403,007,007,0.0
249,100452,003,others,0.02727272727272727
367,100452,044,others,0.02727272727272727
508,100452,078,others,0.02727272727272727
705,100452,009,others,0.02727272727272727
708,100452,013,others,0.02727272727272727
789,100452,103,others,0.02727272727272727
791,100452,144,others,0.02727272727272727
826,100452,007,others,0.02727272727272727
1038,100452,043,others,0.02727272727272727
1040,100452,049,others,0.02727272727272727
1088,100452,016,others,0.02727272727272727
1137,100452,010,others,0.02727272727272727
1141,100452,014,others,0.02727272727272727
114,100452,006,006,0.02631578947368421
282,100545,006,others,0.0
792,100545,003,others,0.0
1047,100545,004,others,0.0
460,100557,006,others,0.0
1045,100557,007,others,0.0
324,100570,006,others,0.021739130434782608
571,100570,003,others,0.021739130434782608
636,100570,043,others,0.021739130434782608
1023,100570,035,others,0.021739130434782608
274,100575,044,others,0.075
389,100575,043,others,0.075
414,100575,007,others,0.075
421,100575,010,others,0.075
580,100575,116,others,0.075
801,100575,004,others,0.075
831,100575,078,others,0.075
832,100575,067,others,0.075
1032,100575,014,others,0.075
144,100575,016,016,0.07462686567164178
139,100575,003,003,0.014492753623188406
99,100575,006,006,0.008658008658008658
109,100575,009,009,0.0
453,100609,003,others,0.03125
523,100609,009,others,0.03125
693,100609,007,others,0.03125
1074,100609,010,others,0.03125
1075,100609,016,others,0.03125
1076,100609,043,others,0.03125
160,100609,006,006,0.0
203,100625,009,others,0.0
470,100625,003,others,0.0
547,100625,006,others,0.0
619,100625,109,others,0.0
825,100625,004,others,0.0
462,100649,006,others,0.06666666666666667
1081,100649,043,others,0.06666666666666667
67,100653,006,006,0.005050505050505051
208,100653,044,others,0.0
233,100653,007,others,0.0
290,100653,003,others,0.0
627,100653,078,others,0.0
723,100653,012,others,0.0
798,100653,043,others,0.0
1061,100653,049,others,0.0
1063,100653,009,others,0.0
1067,100653,103,others,0.0
788,100700,003,others,0.0
1123,100700,006,others,0.0
554,100702,013,others,0.0
946,100702,006,others,0.0
167,100706,006,006,0.0
267,100706,043,others,0.0
577,100706,044,others,0.0
84,100740,006,006,0.04220779220779221
178,100740,007,others,0.021875
205,100740,009,others,0.021875
236,100740,003,others,0.021875
314,100740,013,others,0.021875
433,100740,078,others,0.021875
506,100740,012,others,0.021875
532,100740,103,others,0.021875
553,100740,016,others,0.021875
622,100740,044,others,0.021875
629,100740,043,others,0.021875
1057,100740,014,others,0.021875
1069,100740,010,others,0.021875
1071,100740,110,others,0.021875
228,100760,003,others,0.006289308176100629
251,100760,006,others,0.006289308176100629
310,100760,009,others,0.006289308176100629
879,100760,007,others,0.006289308176100629
884,100760,010,others,0.006289308176100629
1085,100760,078,others,0.006289308176100629
1086,100760,044,others,0.006289308176100629
399,100770,006,others,0.0
623,100770,009,others,0.0
878,100770,003,others,0.0
1082,100770,010,others,0.0
1073,100775,006,others,0.0
244,100803,009,others,0.010101010101010102
400,100803,003,others,0.010101010101010102
425,100803,044,others,0.010101010101010102
1077,100803,043,others,0.010101010101010102
1078,100803,010,others,0.010101010101010102
1079,100803,007,others,0.010101010101010102
1159,100803,016,others,0.010101010101010102
55,100803,006,006,0.0
163,100896,006,006,0.1743119266055046
180,100896,003,others,0.017391304347826087
518,100896,007,others,0.017391304347826087
617,100896,078,others,0.017391304347826087
853,100896,116,others,0.017391304347826087
854,100896,043,others,0.017391304347826087
886,100896,010,others,0.017391304347826087
899,100896,009,others,0.017391304347826087
1072,100937,003,others,0.0
265,101112,007,others,0.006622516556291391
307,101112,009,others,0.006622516556291391
371,101112,016,others,0.006622516556291391
477,101112,043,others,0.006622516556291391
524,101112,103,others,0.006622516556291391
594,101112,004,others,0.006622516556291391
632,101112,013,others,0.006622516556291391
703,101112,010,others,0.006622516556291391
1030,101112,144,others,0.006622516556291391
1033,101112,116,others,0.006622516556291391
1052,101112,113,others,0.006622516556291391
1053,101112,012,others,0.006622516556291391
134,101112,003,003,0.0064516129032258064
45,101112,006,006,0.0017301038062283738
157,101112,044,044,0.0
260,101116,009,others,0.03289473684210526
283,101116,007,others,0.03289473684210526
348,101116,003,others,0.03289473684210526
409,101116,016,others,0.03289473684210526
685,101116,044,others,0.03289473684210526
722,101116,013,others,0.03289473684210526
850,101116,004,others,0.03289473684210526
23,101116,006,006,0.010723860589812333
235,101131,007,others,0.008130081300813009
258,101131,009,others,0.008130081300813009
519,101131,003,others,0.008130081300813009
1024,101131,107,others,0.008130081300813009
1025,101131,010,others,0.008130081300813009
125,101131,006,006,0.0
124,101141,006,006,0.0
676,101141,003,others,0.0
726,101141,009,others,0.0
1021,101141,109,others,0.0
1022,101141,078,others,0.0
572,101149,007,others,0.08333333333333333
683,101149,003,others,0.08333333333333333
1020,101149,004,others,0.08333333333333333
193,101211,006,others,0.0
464,101211,043,others,0.0
1035,101211,003,others,0.0
302,101223,006,others,0.1702127659574468
638,101223,003,others,0.1702127659574468
781,101223,007,others,0.1702127659574468
777,101229,006,others,0.0
1050,101229,003,others,0.0
837,101246,003,others,0.0
192,101289,006,others,0.020618556701030927
480,101289,003,others,0.020618556701030927
1037,101289,016,others,0.020618556701030927
1044,101289,007,others,0.020618556701030927
602,101295,003,others,0.0
858,101295,006,others,0.0
1041,101322,006,others,0.0
1043,101322,003,others,0.0
1039,101364,006,others,0.0
1108,101364,043,others,0.0
1139,101381,006,others,0.0
1140,101381,003,others,0.0
597,101424,006,others,0.0
784,101424,043,others,0.0
353,101426,006,others,0.0
417,101426,003,others,0.0
474,101426,104,others,0.0
510,101426,078,others,0.0
558,101426,004,others,0.0
573,101426,103,others,0.0
865,101426,043,others,0.0
1130,101426,112,others,0.0
1133,101426,067,others,0.0
103,101507,006,006,0.008928571428571428
232,101507,078,others,0.0
245,101507,003,others,0.0
419,101507,009,others,0.0
593,101507,004,others,0.0
667,101507,104,others,0.0
860,101507,043,others,0.0
411,101538,006,others,0.0
877,101538,043,others,0.0
252,101546,006,others,0.0
384,101546,007,others,0.0
398,101546,003,others,0.0
488,101546,009,others,0.0
776,101546,103,others,0.0
861,101546,104,others,0.0
1146,101546,004,others,0.0
153,101594,006,006,0.0
308,101594,044,others,0.0
318,101594,003,others,0.0
710,101594,007,others,0.0
1148,101594,010,others,0.0
1149,101594,103,others,0.0
1152,101720,016,others,0.0
778,101750,006,others,0.0
1153,101750,043,others,0.0
159,101786,006,006,0.03508771929824561
309,101786,078,others,0.013333333333333334
410,101786,003,others,0.013333333333333334
596,101786,009,others,0.013333333333333334
658,101786,044,others,0.013333333333333334
672,101786,043,others,0.013333333333333334
868,101786,014,others,0.013333333333333334
872,101786,049,others,0.013333333333333334
1156,101786,018,others,0.013333333333333334
455,101794,009,others,0.029411764705882353
509,101794,007,others,0.029411764705882353
600,101794,003,others,0.029411764705882353
1101,101794,103,others,0.029411764705882353
1102,101794,004,others,0.029411764705882353
135,101794,006,006,0.0
287,101800,007,others,0.2857142857142857
427,101800,003,others,0.2857142857142857
539,101800,049,others,0.2857142857142857
625,101800,010,others,0.2857142857142857
655,101800,107,others,0.2857142857142857
669,101800,036,others,0.2857142857142857
849,101800,103,others,0.2857142857142857
900,101800,104,others,0.2857142857142857
1098,101800,043,others,0.2857142857142857
161,101800,006,006,0.07079646017699115
22,101898,006,006,0.0
889,101898,059,others,0.0
1118,101898,033,others,0.0
1116,101898,049,others,0.0
1115,101898,103,others,0.0
1112,101898,109,others,0.0
1099,101898,004,others,0.0
1054,101898,112,others,0.0
896,101898,012,others,0.0
559,101898,007,others,0.0
137,101898,009,009,0.0
534,101898,010,others,0.0
446,101898,043,others,0.0
402,101898,016,others,0.0
