,business_area,ar_reason_code,label,rank
21,others,109,others,0.04568496538081108
22,others,113,others,0.04568496538081108
24,others,014,others,0.04568496538081108
25,others,053,others,0.04568496538081108
26,others,167,others,0.04568496538081108
27,others,178,others,0.04568496538081108
28,others,018,others,0.04568496538081108
29,others,136,others,0.04568496538081108
30,others,110,others,0.04568496538081108
31,others,068,others,0.04568496538081108
32,others,144,others,0.04568496538081108
33,others,112,others,0.04568496538081108
34,others,033,others,0.04568496538081108
35,others,037,others,0.04568496538081108
36,others,035,others,0.04568496538081108
37,others,149,others,0.04568496538081108
38,others,134,others,0.04568496538081108
39,others,059,others,0.04568496538081108
40,others,145,others,0.04568496538081108
23,others,067,others,0.04568496538081108
41,others,165,others,0.04568496538081108
11,others,103,others,0.04568496538081108
7,others,016,others,0.04568496538081108
19,others,104,others,0.04568496538081108
18,others,036,others,0.04568496538081108
17,others,049,others,0.04568496538081108
16,others,012,others,0.04568496538081108
15,others,010,others,0.04568496538081108
14,others,116,others,0.04568496538081108
13,others,065,others,0.04568496538081108
12,others,004,others,0.04568496538081108
20,others,107,others,0.04568496538081108
10,others,013,others,0.04568496538081108
9,others,078,others,0.04568496538081108
8,others,045,others,0.04568496538081108
1,others,003,003,0.030173668380712136
3,others,009,009,0.009851033157135992
5,others,007,007,0.00823263842783163
0,others,006,006,0.007446291435792748
4,others,044,044,0.001134358457272498
6,others,043,043,0.0
2,others,null,null,0.0
